p,h,error
1,0.333333,3.16934
1,0.25,4.66773
1,0.2,6.13553
1,0.166667,7.58644
1,0.142857,9.02723
1,0.125,10.4615
1,0.111111,11.8915
1,0.1,13.3183
1,0.0909091,14.7428
1,0.0833333,16.1656
1,0.0769231,17.5871
1,0.0714286,19.0075
1,0.0666667,20.4271
1,0.0625,21.846
1,0.0588235,23.2644
1,0.0555556,24.6823
1,0.0526316,26.0997
1,0.05,27.5169
2,0.333333,3.52838
2,0.25,4.94629
2,0.2,6.36176
2,0.166667,7.77645
2,0.142857,9.19084
2,0.125,10.6051
2,0.111111,12.0193
2,0.1,13.4334
2,0.0909091,14.8475
2,0.0833333,16.2616
2,0.0769231,17.6757
2,0.0714286,19.0898
2,0.0666667,20.5038
2,0.0625,21.9179
2,0.0588235,23.332
2,0.0555556,24.7461
2,0.0526316,26.1601
2,0.05,27.5742
3,0.333333,3.53516
3,0.25,4.94929
3,0.2,6.36338
3,0.166667,7.77747
3,0.142857,9.19156
3,0.125,10.6056
3,0.111111,12.0197
3,0.1,13.4338
3,0.0909091,14.8479
3,0.0833333,16.262
3,0.0769231,17.6761
3,0.0714286,19.0902
3,0.0666667,20.5042
3,0.0625,21.9183
3,0.0588235,23.3324
3,0.0555556,24.7465
3,0.0526316,26.1606
3,0.05,27.5747
