p,h,error
1,0.333333,0.0624123
1,0.25,0.0356367
1,0.2,0.0229668
1,0.166667,0.0160097
1,0.142857,0.0117891
1,0.125,0.00903945
1,0.111111,0.00714955
1,0.1,0.00579536
1,0.0909091,0.00479213
1,0.0833333,0.00402837
1,0.0769231,0.00343356
1,0.0714286,0.00296132
1,0.0666667,0.00258016
1,0.0625,0.0022681
1,0.0588235,0.00200939
1,0.0555556,0.00179254
1,0.0526316,0.00160897
1,0.05,0.00145222
2,0.333333,0.00384002
2,0.25,0.00163185
2,0.2,0.000838338
2,0.166667,0.000486044
2,0.142857,0.000306421
2,0.125,0.000205427
2,0.111111,0.00014435
2,0.1,0.000105268
2,0.0909091,7.91107e-05
2,0.0833333,6.09478e-05
2,0.0769231,4.79447e-05
2,0.0714286,3.83921e-05
2,0.0666667,3.12175e-05
2,0.0625,2.57246e-05
2,0.0588235,2.14483e-05
2,0.0555556,1.80696e-05
2,0.0526316,1.53649e-05
2,0.05,1.31741e-05
3,0.333333,0.000220832
3,0.25,7.00155e-05
3,0.2,2.89475e-05
3,0.166667,1.44415e-05
3,0.142857,8.43261e-06
3,0.125,5.66127e-06
3,0.111111,4.26004e-06
3,0.1,3.47709e-06
3,0.0909091,2.98991e-06
3,0.0833333,2.65497e-06
3,0.0769231,2.40553e-06
3,0.0714286,2.20863e-06
3,0.0666667,2.04677e-06
3,0.0625,1.9099e-06
3,0.0588235,1.79182e-06
3,0.0555556,1.68844e-06
3,0.0526316,1.59691e-06
3,0.05,1.51514e-06
