p,h,error
1,0.1,0.00579769
1,0.0909091,0.00479406
1,0.0833333,0.00402999
1,0.0769231,0.00343494
1,0.0714286,0.00296251
1,0.0666667,0.0025812
1,0.0625,0.00226901
1,0.0588235,0.0020102
1,0.0555556,0.00179326
1,0.0526316,0.00160962
1,0.05,0.0014528
2,0.1,0.000105326
2,0.0909091,7.91539e-05
2,0.0833333,6.09808e-05
2,0.0769231,4.79705e-05
2,0.0714286,3.84126e-05
2,0.0666667,3.1234e-05
2,0.0625,2.57381e-05
2,0.0588235,2.14595e-05
2,0.0555556,1.80789e-05
2,0.0526316,1.53727e-05
2,0.05,1.31807e-05
3,0.1,1.83139e-06
3,0.0909091,1.25112e-06
3,0.0833333,8.83509e-07
3,0.0769231,6.41527e-07
3,0.0714286,4.76999e-07
3,0.0666667,3.61992e-07
3,0.0625,2.79648e-07
3,0.0588235,2.19441e-07
3,0.0555556,1.74599e-07
3,0.0526316,1.40648e-07
3,0.05,1.14563e-07
