x,u,u_exact
0,0,0
0.015625,0.0442062,0.0490677
0.03125,0.0884125,0.0980171
0.046875,0.132619,0.14673
0.0625,0.176825,0.19509
0.078125,0.221031,0.24298
0.09375,0.265237,0.290285
0.109375,0.309444,0.33689
0.125,0.35365,0.382683
0.140625,0.397856,0.427555
0.15625,0.442062,0.471397
0.171875,0.486269,0.514103
0.1875,0.530475,0.55557
0.203125,0.574681,0.595699
0.21875,0.618887,0.634393
0.234375,0.663094,0.671559
0.25,0.7073,0.707107
0.265625,0.725611,0.740951
0.28125,0.743922,0.77301
0.296875,0.762232,0.803208
0.3125,0.780543,0.83147
0.328125,0.798854,0.857729
0.34375,0.817165,0.881921
0.359375,0.835476,0.903989
0.375,0.853786,0.92388
0.390625,0.872097,0.941544
0.40625,0.890408,0.95694
0.421875,0.908719,0.970031
0.4375,0.92703,0.980785
0.453125,0.945341,0.989177
0.46875,0.963651,0.995185
0.484375,0.981962,0.998795
0.5,1.00027,1
0.515625,0.981962,0.998795
0.53125,0.963651,0.995185
0.546875,0.945341,0.989177
0.5625,0.92703,0.980785
0.578125,0.908719,0.970031
0.59375,0.890408,0.95694
0.609375,0.872097,0.941544
0.625,0.853786,0.92388
0.640625,0.835476,0.903989
0.65625,0.817165,0.881921
0.671875,0.798854,0.857729
0.6875,0.780543,0.83147
0.703125,0.762232,0.803208
0.71875,0.743922,0.77301
0.734375,0.725611,0.740951
0.75,0.7073,0.707107
0.765625,0.663094,0.671559
0.78125,0.618887,0.634393
0.796875,0.574681,0.595699
0.8125,0.530475,0.55557
0.828125,0.486269,0.514103
0.84375,0.442062,0.471397
0.859375,0.397856,0.427555
0.875,0.35365,0.382683
0.890625,0.309444,0.33689
0.90625,0.265237,0.290285
0.921875,0.221031,0.24298
0.9375,0.176825,0.19509
0.953125,0.132619,0.14673
0.96875,0.0884125,0.0980171
0.984375,0.0442062,0.0490677
1,0,1.22465e-16
